49	mp_raid	0x5190	0
54	skinnedverts	0x5234	2
42	mp/configstrings/configstrings_mp_raid.csv	0x5250	3
33	,impacts/fx_xtreme_water_hit_mp	0x4a1ec	111
33	,impacts/fx_xtreme_cushion_hit	0x4a258	112
33	,impacts/fx_ap_concrete	0x4a2c4	113
33	,bio/player/fx_footstep_dust	0x4a328	114
33	,bio/player/fx_footstep_mud	0x4a394	115
33	,impacts/fx_grenade_bounce_water	0x4a3fc	116
33	,explosions/fx_grenade_flash	0x4a46c	117
33	,explosions/fx_grenadeexp_default	0x4a4d8	118
33	,env/smoke/fx_grenade_smk_ling_w	0x4a548	119
33	,explosions/fx_grenadeexp_wood	0x4a5b8	120
33	,explosions/fx_grenadeexp_concrete	0x4a624	121
33	,explosions/fx_grenadeexp_dirt	0x4a694	122
7	,effect_z0z25860	0x4a700	123
33	,explosions/fx_grenadeexp_metal	0x4a79c	124
33	,explosions/fx_grenadeexp_mud	0x4a808	125
7	,particlecloud_ew972295	0x4a874	126
33	,explosions/fx_grenadeexp_water_shallow	0x4a914	127
33	,weapon/rocket/fx_rocket_exp_default_mp	0x4a988	128
33	,weapon/rocket/fx_rocket_exp_wood_mp	0x4a9fc	129
33	,weapon/rocket/fx_rocket_exp_concrete_mp	0x4aa70	130
33	,weapon/rocket/fx_rocket_exp_dirt_mp	0x4aae8	131
33	,weapon/rocket/fx_rocket_exp_metal_mp	0x4ab5c	132
33	,weapon/rocket/fx_rocket_exp_mud_mp	0x4abd0	133
7	,particlecloud_1q3jf525	0x4ac40	134
33	,weapon/rocket/fx_rocket_exp_water_shallow_mp	0x4ace0	135
7	,particlecloud_w7046j83	0x4ad5c	136
33	,explosions/fx_exp_bomb_f35_concrete_mp	0x4adfc	137
33	,weapon/mortar/fx_mortar_exp_dirt_medium	0x4ae70	138
33	,explosions/fx_default_explosion_mp	0x4aee8	139
33	,explosions/fx_exp_rocket_metal	0x4af58	140
33	,weapon/tank/fx_tank_water_mp	0x4afc4	141
33	,weapon/tank/fx_tank_dirt	0x4b030	142
34	ImpactFx	0x4b098	143
8	fxt_env_dust_mote_pcloud_2	0x4cc94
6	gfx_fxt_env_dust_mote_pcloud_2_add	0x4cbf8
8	fxt_env_dust_mote_pcloud_1	0x4faa4
6	gfx_fxt_env_dust_mote_pcloud_1_add	0x4fa08
8	fxt_env_dust_mote_pcloud_4	0x51cac
6	gfx_fxt_env_dust_mote_pcloud_4_add	0x51c10
33		0x4bc74	144
8	fxt_mov_smk_scattered	0x55070
6	gfx_fxt_mov_smk_scattered	0x54fdc
33		0x53e18	145
8	fxt_bio_fruit_fly	0x976bc
6	gfx_fxt_bio_fruit_fly	0x9762c
8	fxt_bio_insect_gen	0x9d320
6	gfx_fxt_bio_insect_gen	0x9d290
33		0x960f8	146
8	fxt_bio_butterfly	0xa490c
6	gfx_fxt_bio_butterfly	0xa487c
33		0xa1d38	147
6	,gfx_fxt_fx_distortion_heat	0xabe24
33		0xab320	148
6	,gfx_fxt_smk_light_z3	0xac738
33		0xabea8	149
7	mc_lit_sm_t0c0_90wz6fe2	0xac7b8	150
8	$identitynormalmap	0xbe83c
8	~-gfx_decal_burnt_paper_c	0xc0998
6	mc/mtl_fx_decal_burnt_paper	0xbe798
5	fx_decal_burnt_paper	0xbe090
5	fx_decal_burnt_paper	0xbe090	151
5	fx_decal_burnt_paper2	0xc0b4c
5	fx_decal_burnt_paper2	0xc0b4c	152
5	fx_decal_burnt_paper3	0xc1568
5	fx_decal_burnt_paper3	0xc1568	153
33		0xc2024	154
6	,gfx_fxt_smk_def_0	0xc4b40
6	,gfx_fxt_smk_def_1_z200	0xc4bbc
6	,gfx_fxt_smk_scattered_z120	0xc562c
6	,gfx_fxt_smk_puff_z120	0xc6430
33		0xc3a00	155
8	,fxt_fire_anim_lick	0xc6cec
6	gfx_fxt_fire_anim_lick_add_eo	0xc6c54
33		0xc64b0	156
7	,effect_737e1je4	0xc7388	157
8	,fxt_light_ray_spread	0xc786c
6	gfx_fxt_light_ray_spread_z1	0xc77d8
6	,gfx_fxt_light_ray_spread_z3	0xc7b78
33		0xc7424	158
8	fxt_smk_whisp_spiral	0xc8b88
6	gfx_fxt_smk_whisp_spiral_z5	0xc8af4
6	,gfx_fxt_smk_scattered	0xe1558
33		0xc7c00	159
7	,effect_ze9wj511	0xe15d8	160
8	,fxt_fire_anim_flicker_1	0xe1f48
6	gfx_fxt_fire_anim_flicker_1	0xe1eb4
6	,gfx_fxt_fire_anim_flicker_1_add	0xe20d8
6	,gfx_fxt_fire_anim_lick	0xe2434
6	,gfx_fxt_fire_anim_fuel_gr	0xe2f94
33		0xe1674	161
33		0xe3018	162
