33	,impacts/fx_ap_waterhit	5	0x2912e8
33	,impacts/fx_ap_asphalt	5	0x29134c
33	,impacts/fx_xtreme_metalhit_mp	5	0x2913b0
33	,impacts/fx_xtreme_wood_hit_mp	5	0x29141c
33	,impacts/fx_xtreme_concrete_mp	5	0x291488
33	,impacts/fx_xtreme_dirthit_mp	5	0x2914f4
33	,impacts/fx_xtreme_foliage_hit	5	0x291560
33	,impacts/fx_xtreme_glass_hit_mp	5	0x2915cc
33	,impacts/fx_xtreme_mud_mp	5	0x291638
7	,effect_q01e8072	5	0x2916a0
7	distortion_81587199	5	0x294e40
33	,impacts/fx_xtreme_water_hit_mp	5	0x298720
33	,impacts/fx_xtreme_cushion_hit	5	0x29878c
33	,impacts/fx_ap_concrete	5	0x2987f8
33	,bio/player/fx_footstep_dust	5	0x29885c
33	,bio/player/fx_footstep_mud	5	0x2988c8
33	,impacts/fx_grenade_bounce_water	5	0x298930
33	,explosions/fx_grenade_flash	5	0x2989a0
33	,explosions/fx_grenadeexp_default	5	0x298a0c
33	,env/smoke/fx_grenade_smk_ling_w	5	0x298a7c
33	,explosions/fx_grenadeexp_wood	5	0x298aec
33	,explosions/fx_grenadeexp_concrete	5	0x298b58
33	,explosions/fx_grenadeexp_dirt	5	0x298bc8
7	,effect_z0z25860	5	0x298c34
33	,explosions/fx_grenadeexp_metal	5	0x29c444
33	,explosions/fx_grenadeexp_mud	5	0x29c4b0
7	,particlecloud_ew972295	5	0x29c51c
33	,explosions/fx_grenadeexp_water_shallow	5	0x29fe88
33	,weapon/rocket/fx_rocket_exp_default_mp	5	0x29fefc
33	,weapon/rocket/fx_rocket_exp_wood_mp	5	0x29ff70
33	,weapon/rocket/fx_rocket_exp_concrete_mp	5	0x29ffe4
33	,weapon/rocket/fx_rocket_exp_dirt_mp	5	0x2a005c
33	,weapon/rocket/fx_rocket_exp_metal_mp	5	0x2a00d0
33	,weapon/rocket/fx_rocket_exp_mud_mp	5	0x2a0144
7	,particlecloud_1q3jf525	5	0x2a01b4
33	,weapon/rocket/fx_rocket_exp_water_shallow_mp	5	0x2a3afc
7	,particlecloud_w7046j83	5	0x2a3b78
33	,explosions/fx_exp_bomb_f35_concrete_mp	5	0x2a70d0
33	,weapon/mortar/fx_mortar_exp_dirt_medium	5	0x2a7144
33	,explosions/fx_default_explosion_mp	5	0x2a71bc
33	,explosions/fx_exp_rocket_metal	5	0x2a722c
33	,weapon/tank/fx_tank_water_mp	5	0x2a7298
33	,weapon/tank/fx_tank_dirt	5	0x2a7304
34	ImpactFx	5	0x2a736c
8	fxt_env_dust_mote_pcloud_2	5	0x2a7fe4
6	gfx_fxt_env_dust_mote_pcloud_2_add	5	0x2a7f48
8	fxt_env_dust_mote_pcloud_1	5	0x2aa1f4
6	gfx_fxt_env_dust_mote_pcloud_1_add	5	0x2aa158
8	fxt_env_dust_mote_pcloud_4	5	0x2ac404
6	gfx_fxt_env_dust_mote_pcloud_4_add	5	0x2ac368
33	maps/mp_maps/fx_mp_light_dust_motes_md	5	0x2ae578
8	fxt_mov_smk_scattered	5	0x2b0198
6	gfx_fxt_mov_smk_scattered	5	0x2b0104
33	maps/mp_maps/fx_mp_raid_mist	5	0x2f0338
8	fxt_bio_fruit_fly	5	0x2f248c
6	gfx_fxt_bio_fruit_fly	5	0x2f23fc
8	fxt_bio_insect_gen	5	0x2f6690
6	gfx_fxt_bio_insect_gen	5	0x2f6600
33	bio/insects/fx_insects_swarm_lg_light	5	0x2f8808
8	fxt_bio_butterfly	5	0x2fe0ec
6	gfx_fxt_bio_butterfly	5	0x2fe05c
33	bio/insects/fx_insects_butterfly_flutter	5	0x302260
6	,gfx_fxt_fx_distortion_heat	5	0x307654
33	maps/mp_maps/fx_mp_fumes_vent_xsm_int	5	0x3076d8
6	,gfx_fxt_smk_light_z3	5	0x3081dc
33	maps/mp_maps/fx_mp_raid_mist_water	5	0x30825c
7	mc_lit_sm_t0c0_90wz6fe2	5	0x308aec
8	$identitynormalmap	5	0x3360e8
8	~-gfx_decal_burnt_paper_c	5	0x338244
6	mc/mtl_fx_decal_burnt_paper	5	0x336044
5	fx_decal_burnt_paper	5	0x3383d0
5	fx_decal_burnt_paper2	5	0x338b04
5	fx_decal_burnt_paper3	5	0x339520
33	debris/fx_paper_interior_short	5	0x339fcc
6	,gfx_fxt_smk_def_0	5	0x33b9a8
6	,gfx_fxt_smk_def_1_z200	5	0x33ba24
6	,gfx_fxt_smk_scattered_z120	5	0x33baa4
6	,gfx_fxt_smk_puff_z120	5	0x33bb28
33	maps/mp_maps/fx_mp_raid_vista_smoke01	5	0x33bba8
8	,fxt_fire_anim_lick	5	0x33e4f0
6	gfx_fxt_fire_anim_lick_add_eo	5	0x33e458
33	maps/mp_maps/fx_mp_raid_vista_fire01	5	0x33e688
7	,effect_737e1je4	5	0x33f33c
8	,fxt_light_ray_spread	5	0x343044
6	gfx_fxt_light_ray_spread_z1	5	0x342fb0
6	,gfx_fxt_light_ray_spread_z3	5	0x343248
33	maps/mp_maps/fx_mp_nightclub_flr_glare	5	0x3432d0
8	fxt_smk_whisp_spiral	5	0x343838
6	gfx_fxt_smk_whisp_spiral_z5	5	0x3437a4
6	,gfx_fxt_smk_scattered	5	0x35b9d8
33	maps/mp_maps/fx_mp_slums_dark_smoke_sm	5	0x35ba58
7	,effect_ze9wj511	5	0x35d18c
8	,fxt_fire_anim_flicker_1	5	0x360e34
6	gfx_fxt_fire_anim_flicker_1	5	0x360da0
6	,gfx_fxt_fire_anim_flicker_1_add	5	0x360fd8
6	,gfx_fxt_fire_anim_lick	5	0x361064
6	,gfx_fxt_fire_anim_fuel_gr	5	0x3610e4
33	maps/mp_maps/fx_mp_slums_fire_sm	5	0x361168
33	maps/mp_maps/fx_mp_slums_fire_lg	5	0x362758
6	gfx_fxt_smk_whisp_spiral_z120	5	0x363c88
8	,fxt_smk_def_3	5	0x363de8
6	gfx_fxt_smk_def_3_z120	5	0x363d58
33	maps/mp_maps/fx_mp_slums_dark_smoke	5	0x363f78
33	maps/mp_maps/fx_mp_village_car_smoke	5	0x3659ac
8	,fxt_env_water_ripple	5	0x366ba8
6	gfx_fxt_env_water_ripple_add	5	0x366b10
6	,gfx_fxt_env_water_foam2	5	0x366d20
33	water/fx_raid_hot_tub_sm	5	0x366da4
33	water/fx_raid_hot_tub_lg	5	0x367ab8
8	,fxt_light_incandescent	5	0x369d3c
6	gfx_fxt_light_incandescent_eo20	5	0x369ca4
6	,gfx_fxt_light_hot_add_z0_eo40	5	0x369ed8
33	light/fx_light_beacon_red_blink_fst	5	0x369f60
8	fxt_light_ray_solid	5	0x36b498
6	gfx_fxt_light_ray_solid_gr	5	0x36b404
33	env/light/fx_light_god_ray_mp_raid	5	0x371698
7	,effect_26z423jf	5	0x371928
7	effect_5e098749	5	0x375214
6	,gfx_fxt_light_glow_square_gr	5	0x378e54
8	,fxt_light_ray_search	5	0x378f78
6	gfx_fxt_light_ray_search_z3_nocull	5	0x378edc
6	gfx_fxt_light_ray_spread_no_cull_z5	5	0x379178
33	light/fx_raid_spot_light	5	0x3792b8
6	gfx_fxt_light_ray_spread_no_gr_z0	5	0x379e58
33	light/fx_raid_spot_light_picture	5	0x379f10
33	light/fx_light_recessed_cool_sm_soft	5	0x37a1a0
7	sw4_3d_superflare_mp_raid_sun1_4fw3j711	5	0x37a430
8	,~sprites_flare_mp_red-r&sprit~a14528f4	5	0x37fc38
8	,screen_sparkle2_mp	5	0x37fda8
8	sw_radiant_default	5	0x37ff04
6	gfx_fxt_superflare_mp_raid_sun1	5	0x37fb80
33	lens_flares/fx_lf_mp_raid_sun1	5	0x3800b8
7	effect_j68f8w3z	5	0x380348
6	,gfx_fxt_env_water_ripple	5	0x383b74
8	fxt_env_water_foam	5	0x383c88
6	gfx_fxt_env_water_foam	5	0x383bf8
6	,gfx_fxt_env_water_splash2_z10	5	0x3dbe00
8	,fxt_smk_light	5	0x3dbf18
6	gfx_fxt_smk_light_z0	5	0x3dbe88
8	,fxt_env_water_splash2	5	0x3dc124
6	gfx_fxt_env_water_splash2_ds64_sadd	5	0x3dc088
33	bio/player/fx_player_water_splash_mp_sm	5	0x3dc2e8
7	mc_skycubemaphdr_1f117w7u	5	0x3dd938
8	skybox_mp_overflow_ft	5	0x3e2108
6	mc/mtl_skybox_mp_raid	5	0x3e2078
5	skybox_mp_raid	5	0x5623a8
41	vision/mp_raid.vision	5	0x565c98
7	,mc_lit_sm_r0c0n0x0_q361191u	5	0x5661d4
7	,mc_lit_sm_t0c0s0_8229f6jf	5	0x59e860
8	~~-gfoliage_dub_potted_spikey~980de041	5	0x5d60cc
8	~-gfoliage_dub_potted_spikey_plant_col	5	0x5d623c
6	mc/mtl_foliage_dub_potted_spikey_plant	5	0x5d600c
8	ny_harbor_planter_nml	5	0x5d649c
8	~~-gny_harbor_planter_col-rgb~25fce68f	5	0x5d65fc
6	mc/mtl_ny_harbor_planter	5	0x5d63f8
8	dub_lobby_pillar_lower_base_01_nml	5	0x5d6844
8	~~-gdub_lobby_pillar_lower_ba~ba8e3f5e	5	0x5d69b0
6	mc/mtl_dub_lobby_pillar_lower_base	5	0x5d6798
1	sandbag	5	0x5d6b48
5	foliage_dub_potted_spikey_plant	5	0x5d6ba4
7	mc_treecanopy_1e862q77	5	0x5ee09c
8	p6_plant_cactus_star_med_01_n	5	0x61d268
8	~-gp6_plant_cactus_star_med_01_c	5	0x61d3d0
6	mc/mtl_p6_plant_cactus_star_med_01	5	0x61d1bc
5	p6_plant_cactus_star_med_02	5	0x61d5e8
5	p6_plant_cactus_star_med_01	5	0x6385a8
7	mc_lit_sm_r0c0n0s0_zqq1fze7	5	0x6584a4
8	~~-gma_patio_heater_spc_2_cle~b87806f8	5	0x691e58
8	ma_patio_heater_nml_2_clean	5	0x691fc8
8	~-gma_patio_heater_clean_col	5	0x69212c
6	mc/mtl_patio_heater_clean	5	0x691da4
5	ma_patio_heater_clean	5	0x6922e8
7	mlv_lit_sm_r0c0n0_3qf192ew	5	0x69b89c
7	mlv_sw4_3d_cod7_tile_blend_spec_w8wezqe6	5	0x6cd5f8
8	p6_cliffside_01_n	5	0x70f9f0
8	~rock_detail_g-r&~-grock_detail_s-rgb	5	0x70fb4c
8	~rock_detail_dark_g-r&~-grock~e23d2ea8	5	0x70fcbc
8	~-grock_detail_dark_c	5	0x70fe2c
8	rock_detail_n	5	0x70ff8c
8	rock_detail_dark_n	5	0x7100e4
8	~-grock_detail_c	5	0x710240
8	p6_cliffside_01_ao	5	0x71039c
6	mlv/mtl_p6_rocks_cliffside_01	5	0x70f8e8
8	~-gp6_cliffside_01_c	5	0x7106b8
6	mlv/mtl_p6_rocks_cliffside_01_simple	5	0x710608
5	mlv/p6_rocks_cliffside_01	5	0x710840
7	mc_lit_sm_r0c0d0n0_33ffej1u	5	0x7223a8
8	pb_rock_01_nml	5	0x753b50
8	~-gpb_rock_01_col	5	0x753ca8
8	detail_map_rock_bumps_n	5	0x753e04
6	mc/mtl_pb_rock_01	5	0x753aa4
5	dub_rock_02	5	0x753fb8
7	mlv_lit_sm_r0c0n0s0_wqqj839w	5	0x75dde0
7	mlv_treecanopy_q2676077	5	0x798e74
8	~~-gtree_birch_trunk_col-rgb&~41c85fe2	5	0x7cc6ac
8	tree_birch_trunk_nml	5	0x7cc81c
8	~-gtree_birch_trunk_col	5	0x7cc97c
6	mlv/mtl_tree_birch_trunk	5	0x7cc5f8
8	~-gtree_birch_canopy_col	5	0x7ccbc0
6	mlv/mtl_tree_birch_canopy_sway	5	0x7ccb28
5	mlv/foliage_tree_birch_green_1	5	0x7ccdd0
7	mlv_lit_sm_r0c0n0x0_619829wj	5	0x7dce30
7	mlv_lit_sm_r0c0x0_81jj142u	5	0x8158fc
7	mlv_lit_sm_r0c0d0n0_w65788j0	5	0x84b470
7	mlv_unlitdecalblend_multiply_j218z215	5	0x87e114
8	t6_wood_panel_n	5	0x881a20
8	~~-gt6_wood_panel_c-rgb&~-rt6~f2d3e628	5	0x881b78
6	mlv/wood_panel	5	0x881988
8	~~-gcore_metal_dark_c-rgb&~-r~883ab6a8	5	0x881dac
